Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL
click,6/8/2016 11:28,6/8/2016 11:31,6/8/2016 11:31,install,,,,,SDK,,,jumprampgames_int,,"Appsflyer, Attribution, Analytics",android_us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,OH,Canton,44720,510,98.181.103.150,TRUE,Verizon Wireless,Verizon Wireless,en-US,1405385438774-4312502203727572307,0fc7cc57-f7cb-43b0-cc45-cc73bc13543c,,,,,,android,lge-VS980 4G,5.0.2,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 5.0.2; VS980 4G Build/LRX22G),,http://app.appsflyer.com/com.appsflyer.sender?pid=jumprampgames_int&c=android_us&clickid=u-6aba976c-fdaa-6f16-b76d-7f81117d9272_1_1.616213111667387331_611&advertising_id=1fa8ca98-f7ab-62b1-ac69-ac82bc13763c
click,6/8/2016 11:17,6/8/2016 11:30,6/8/2016 11:30,install,,,,,SDK,,,googleadwords_int,Admob,"Appsflyer, Mobile Attribution",369757118,369757118,27166514078,27166514078,1.03E+11,1.03E+11,,mobileapp::2-com.minimo.miniracingadventures,,,,,,,,,,,,,,,,,,,,,,,,,EU,UK,BNS,Barnsley,s70 1,826039,166.221.236.98,TRUE,,,en-US,1405384051133-1705225730388774584,550fd175-5506-46d3-5df6-5c57033665d7,,,,,,android,samsung-SM-T210,4.4.2,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T210 Build/KOT49H),,http://app.appsflyer.com/com.appsflyer.sender?pid=googleadwords_int&c=369777118&url=http://play.google.com/store/apps/details%3Fid%3Dcom.appsflyer.sender&af_c_id=369777118&af_siteid=mobileapp%3A%3A2-com.minimo.miniracingadventures&network=d&af_keywords=&af_adset=27166716178&af_adset_id=27166716178&af_ad=113191323238&af_ad_id=113191323238&gclid=COuCh7ynmM1CFfUV1wodJsAOMw&referrer=adsplayload%3DCAE%26ai%3DC7qvsdu9XV-nNGuelzAbF_ZWICdatlaMIlsist6ADnuyLpH6QASDt3OYkYLuOloPQCqABquLhywOpAhJ3a7UbgJE-qAMByAMIqgS2AU_QLHqOgMLMZ1rhLU7oaQUyfXyEEvkiHbVSQ1h1rMz3sXJmuJdYnpxLSzVpW9ni-ElPNfgwT3y12hx_268W6a1mLNpl7F7ojRvmsNOCznouQP39eauP9lLSF6Qn6EiZck-NTvajGkmxsuSENf1tR237K1NRI31VrqUvrFTswUd-B-BWnmq1p7kzreduB1QDZRUB1Bsp6jggB__BPmwDFWH8yWYtM6Ye_UYDjbgXKykVTAx3j6tAkAYBoAYcsAYBgAe-nZ61mAcBqAemvhu6B-W_ktqQ1vaUTsAH_9QDwAfo1APYBwH6Bxtjb21uamVsbHlidG6uY2FzaGtpbmdtb2JpbGW6E7ED%26gclid%3DCOuCh7ynmM1CFfUV1wodJsAOMw%26conv%3D966196612
click,6/8/2016 11:29,6/8/2016 11:30,6/8/2016 11:30,install,,,,,SDK,,,jumprampgames_int,,"Appsflyer, SDK, Analytics",android_us,,,,,,,,,,,,,,,,,,jumprampgames_int,android_us,click,6/8/2016 11:29,,jumprampgames_int,android_us,click,6/8/2016 10:55,,,,,,NA,US,AL,Alabaster,35007,630,28.161.98.195,TRUE,Verizon,Verizon Wireless,en-US,1405385383777-7530543745240177404,cb73c43f-7717-4f5c-7bc7-df6cf3cbff10,,,,,,android,Verizon-SM-P905V,5.1.1,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-P905V Build/LMY47X),,http://app.appsflyer.com/com.appsflyer.sender?pid=jumprampgames_int&c=android_us&clickid=u-1c3e1289-1927-69af-acc8-a9a3887e7661_1_1.367986111667387367_611&advertising_id=cb73a62e-8717-6f9a-8bc7-de6af2abff11
click,6/8/2016 11:27,6/8/2016 11:29,6/8/2016 11:29,install,,,,,SDK,,,googleadwords_int,Search,,315588998,315588998,,,,,,,,AppsFlyer App,g,,,,,,,,,,,,,,,,,,,,,,EU,UK,SCB,Galashiels,td1 1,826037,66.166.288.138,TRUE,,vodafone UK,en-US,1405385345585-8052138175275505453,b0b0f55f-f675-4b37-c06b-63f70bd14f7f,,,,,,android,Vodafone-Vodafone Smart Tab 4G,4.4.4,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/1.6.0 (Linux; U; Android 4.4.4; Vodafone Smart Tab 4G Build/KTU84P),,http://play.google.com/store/apps/details?id=com.appsflyer.sender&referrer=c%3D317788998%26url%3D%277Blpurl%277D%26af_siteid%3D%26af_sub2%3Dg%26af_sub1%3Dtulas%2721kings%26network%3Dg%26creative%3D87216619138%26campaignid%3D317788998%26keyword%3Dtulas%2721kings%26matchtype%3Db%26loc_physical_ms%3D9167119%26gclid%3DCj1KEQjwhN-6BRCJsePgxru9iIwBEiQAI8rq8yNa3cRlYs6PiJIn9gPOxIhlAwj1KEPZw9RGn8fSpwwaAigO8P8HAQ&gclid=Cj1KEQjwhN-6BRCJsePgxru9iIwBEiQAI8rq8yNa3cRlYs6PiJIn9gPOxIhlAwj1KEPZw9RGn8fSpwwaAigO8P8HAQ
click,6/8/2016 11:27,6/8/2016 11:29,6/8/2016 11:29,install,,,,,SDK,,,tapcash_int,,,CC_AND_US_CPE_2016-05-16,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,CA,San Francisco,94112,807,192.281.215.286,TRUE,VINAPHONE,VN VINAPHONE,en-US,1405385341073-115050485355755478,0435cdff-33cf-4f7c-bc57-fc665c4c45f5,,,,,,android,samsung-SM-G360H,4.4.4,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G360H Build/KTU84P),,http://app.appsflyer.com/com.appsflyer.sender?pid=tapcash_int&c=CC_AND_US_CPE_2116-17-16&af_siteid=37&clickid=CLI_3866769&android_id=61d117ea13936c61&advertising_id=1639adff-33ae-6e7c-ba98-fa669a6a69f7
click,6/8/2016 11:28,6/8/2016 11:29,6/8/2016 11:29,install,,,,,SDK,,,jumprampgames_int,,,android_us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,TN,Knoxville,37920,557,50.189.29.190,TRUE,Verizon, ,sv-SE,1405385333472-785787028577722730,f7d31705-ffdf-4fc7-c417-507cc4b55b47,,,,,,android,samsung-SM-S920L,5.0.2,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-S920L Build/LRX22G),,http://app.appsflyer.com/com.appsflyer.sender?pid=jumprampgames_int&c=android_us&clickid=u-dbe16211-d8ce-6767-a3fc-66fc6e1d21b1_1811_1.729118111667387288_178&advertising_id=e8d21719-eedf-6fa8-a618-718aa6b79b68
click,6/8/2016 11:28,6/8/2016 11:29,6/8/2016 11:29,install,,,,,SDK,,,sponsorpay_int,,,CC_AND_SA_FBC_2016-05-24,,,,,,,,,22369,,,,,,,,,sponsorpay_int,PK_AND_SA_FBC_2016-05-24,click,6/8/2016 11:27,,sponsorpay_int,PK_AND_SA_FBC_2016-05-24,click,6/8/2016 11:27,,,,,,AS,SA,2,Mecca,21514,None,39.282.235.98,TRUE,mobily,Mobily-KSA,en-US,1405385250452-5777475711784171740,75d7f3fd-0d51-4535-ccd7-3375c3171605,,,,,,android,InnJoo-Fire Pro,5,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 5.0; Fire Pro Build/LRX21M),,http://app.appsflyer.com/com.appsflyer.sender?pid=sponsorpay_int&c=CC_AND_SA_FBC_2116-17-26&clickid=8ab9d17e-f1aa-61f1-a718-118a3163366e&advertising_id=77d7f3fd-1d91-6739-aad8-2289a2181619&af_sub1=22369&redirect=false&android_id=
click,6/8/2016 11:26,6/8/2016 11:28,6/8/2016 11:28,install,,,,,SDK,,,nativex_int,,,CC_AND_SA_FBC_2016-06-06,,,,,,,75484,,,,,,,,,,,,,,,,,,,,,,,,,AS,SA,1,Riyadh,11411,None,51.36.29.5,TRUE,Zain KSA,Zain KSA,en-SG,1405385284218-3077357722337454543,3f3ccc00-6cf4-4773-c4b5-470503f0ff7c,,,,,,android,samsung-SM-N9005,5,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N9005 Build/LRX21V),,http://app.appsflyer.com/com.appsflyer.sender?pid=nativex_int&c=CC_AND_SA_FBC_2116-16-16&advertising_id=3f3aac11-6cf6-6873-a6b7-671713e1ee8a&af_siteid=77686&ACTIONID=1813
click,6/8/2016 11:26,6/8/2016 11:27,6/8/2016 11:27,install,,,,,SDK,,,nativex_int,,,UK_CPA-FBC_03-03-2016,,,,,,,21051,,,,,,,,,,,,,,,,,,,,,,,,,EU,UK,CAY,Caerphilly,cf83 1,826041,61.136.6.102,TRUE,,EE,en-GB,1405385245511-1532770787035755473,6746dc4f-47f3-4567-7d76-c54017b5f535,,,,,,android,samsung-SM-G920F,6.0.1,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920F Build/MMB29K),,http://app.appsflyer.com/com.appsflyer.sender?pid=nativex_int&c=UK_CPA-FBC_13-13-2116&advertising_id=6766da6e-67e3-6768-8d76-a96118b7e939&af_siteid=21171&ACTIONID=1813
click,6/8/2016 11:24,6/8/2016 11:27,6/8/2016 11:27,install,,,,,SDK,,,nativex_int,,,CC_AND_SA_FBC_2016-06-06,,,,,,,75484,,,,,,,,,,,nativex_int,PK_AND_SA_FBC_2016-06-06,click,6/7/2016 18:12,,,,,,,,,,,AS,SA,2,Jiddah,21441,None,95.166.253.96,TRUE,STC,SA Al Jawal,en-GB,1405385177442-1775308755377582570,3dd17b03-7b5b-4f4b-cf07-0f37c7733536,,,,,,android,samsung-SM-G7102,4.4.2,2.6.5,v3.3.0,com.appsflyer.sender,AppsFlyer App,com.appsflyer.sender,FALSE,,7d,,,Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G7102 Build/KOT49H),,http://app.appsflyer.com/com.appsflyer.sender?pid=nativex_int&c=CC_AND_SA_FBC_2116-16-16&advertising_id=3dd17b13-8b7b-6f6b-ae18-1e27c7822926&af_siteid=77686&ACTIONID=1813
